Endpoint,HTTP Method,Previous Documentation Status,Previous Severity,Resource Criticality,Public Exposure,Review Date,Documentation Status,Root Cause Category,Root Cause Summary,Priority,Recommended Fix,Reviewer Status,Jira Ticket ID,Last Updated Timestamp
/api/v1/auth/register,POST,Partial,High,High,Public,2025-10-14,Partial,Schema Mismatch,Password policy and phone validation lag source,High,Raise password minLength and document IN phone rule,Needs Re-review,API-102,2025-10-14T11:24:18Z
/api/v1/auth/login,POST,Partial,Critical,Critical,Public,2025-11-03,Partial,Schema Mismatch,Published username field replaced by email in LoginDto,High,Replace username with email and set 12-char password rule,Changes Requested,API-145,2025-11-03T07:52:44Z
/api/v1/auth/refresh,POST,Undocumented,High,Critical,Public,2025-11-03,Undocumented,Documentation Gap,Refresh-token route missing from contract,High,Add request rotation and 401 response contract,Open,,2025-11-03T08:14:06Z
/api/v1/auth/logout,POST,Undocumented,Medium,High,Internal,2025-09-28,Undocumented,Documentation Gap,Protected logout route absent,Medium,Document bearer authentication and 204 response,Open,,2025-09-28T15:42:22Z
/api/v1/users/me,GET,Full,Low,Medium,Internal,2025-12-12,Full,None,Profile read is aligned,Low,Retain quarterly review,Approved,,2025-12-12T09:20:11Z
/api/v1/users/me,PATCH,Partial,Medium,Medium,Internal,2025-12-12,Partial,Schema Mismatch,phone and bio fields missing; name maximum is stale,Medium,Synchronize UpdateUserDto properties,Needs Re-review,API-221,2025-12-12T09:44:31Z
/api/v1/users/{userId}/role,PATCH,Undocumented,High,Critical,Internal,2025-08-06,Undocumented,Authorization Mismatch,Admin permission-scoped role route missing,High,Document roles and users:roles:write permission,Blocked,,2025-08-06T12:18:33Z
/api/v1/users/{userId},DELETE,Undocumented,High,Critical,Internal,2025-08-06,Undocumented,Documentation Gap,Account-deletion workflow absent,High,Add scheduled deletion semantics and admin permission,Open,,2025-08-06T12:30:09Z
/api/v2/products,GET,Partial,Low,High,Public,2026-01-21,Partial,Missing Query Documentation,search and sort query options omitted,Low,Document search and sort enum with page metadata,In Progress,API-317,2026-01-21T10:06:17Z
/api/v2/products,POST,Partial,Medium,High,Internal,2026-01-21,Partial,Missing Validation Documentation,SKU regex price lower bound and required description differ,Medium,Generate constraints from CreateProductDto,Changes Requested,,2026-01-21T10:18:40Z
/api/v2/products/{productId},GET,Partial,Medium,High,Public,2026-01-21,Partial,Missing Response Fields,availableQuantity and averageRating absent from Product schema,Medium,Add computed stock and rating properties,Needs Re-review,API-221,2026-01-21T10:32:44Z
/api/v2/products/{productId},PATCH,Partial,Low,Medium,Internal,2025-12-02,Partial,Authentication Mismatch,Required permission not named,Low,Document catalog:write and supported patch fields,Open,,2025-12-02T13:55:10Z
/api/v2/products/{productId},DELETE,Full,Low,Medium,Internal,2025-12-02,Full,Response Mismatch,Contract says 204 but handler returns archive envelope,Low,Publish 200 archive representation or change handler,Open,,2025-12-02T14:08:27Z
/api/v2/categories,GET,Full,Low,Low,Public,2026-02-08,Full,None,List route aligned,Low,Retain current documentation,Approved,,2026-02-08T08:17:54Z
/api/v2/categories,POST,Partial,Low,Medium,Internal,2026-02-08,Partial,Missing Validation Documentation,slug pattern and required status absent,Low,Document slug format and required fields,Open,,2026-02-08T08:26:05Z
/api/v2/categories/{categoryId}/products,GET,Undocumented,Low,Medium,Public,2025-07-24,Undocumented,Documentation Gap,Nested category browse route missing,Medium,Add categoryId UUID path and product response,Open,,2025-07-24T06:41:51Z
/api/v1/orders,POST,Partial,High,Critical,Internal,2026-01-05,Partial,Schema Mismatch,Address object replaced documented addressId,High,Publish nested shippingAddress and conflict errors,In Progress,API-317,2026-01-05T12:00:29Z
/api/v1/orders,GET,Partial,Medium,High,Internal,2026-01-05,Partial,Missing Pagination,status page limit and sort parameters absent,Medium,Document query filters pagination and sorting,Needs Re-review,,2026-01-05T12:18:07Z
/api/v1/orders/{orderId},GET,Partial,Medium,Critical,Internal,2026-01-05,Partial,Missing Response Fields,estimatedDeliveryAt missing from response contract,Medium,Add delivery estimate and full status enum,Open,,2026-01-05T12:31:42Z
/api/v1/orders/{orderId}/status,PATCH,Partial,High,Critical,Internal,2025-09-11,Partial,Missing Role Documentation,Manager and admin permission not described,High,Document roles orders:status:write and fulfilling state,Changes Requested,API-145,2025-09-11T15:43:00Z
/api/v1/cart,GET,Full,Low,Medium,Internal,2026-02-17,Full,None,Cart response aligned,Low,Retain current contract,Approved,,2026-02-17T10:07:21Z
/api/v1/cart/items,POST,Partial,High,High,Internal,2026-02-17,Partial,Duplicate Route,Legacy controller also registers identical method and path,High,Remove duplicate handler and document conflict behavior,Blocked,API-102,2026-02-17T10:23:49Z
/api/v1/cart/items/{itemId},PATCH,Partial,Low,Medium,Internal,2026-02-17,Partial,Missing Validation Documentation,maximum quantity is 20 not documented 99,Low,Align maximum with UpdateCartItemDto,Open,,2026-02-17T10:34:51Z
/api/v1/cart/items/{itemId},DELETE,Full,Low,Low,Internal,2026-02-17,Full,Response Mismatch,Contract 204 differs from returned removal envelope,Low,Document envelope or return empty body,Open,,2026-02-17T10:45:14Z
/api/v1/cart/checkout,POST,Partial,Critical,Critical,Internal,2025-12-22,Partial,Schema Mismatch,Flat address and paymentMethod are stale,High,Use shippingAddress and PaymentProvider enum,In Progress,API-317,2025-12-22T07:30:01Z
/api/v1/payments/{paymentId},GET,Full,Low,High,Internal,2025-11-19,Full,None,Payment read aligned,Approved,,2025-11-19T09:14:12Z
